   cnoso    |  bbm  |      nama      | tebus | terima | out_d | last_tebus | last_terima 
 4022769636 | BB-01 | PREMIUM        | 16000 |      0 | 16000 | 2022-11-25 | 
 4022846276 | BB-01 | PREMIUM        | 16000 |      0 | 16000 | 2022-12-02 | 
 4023114906 | BB-01 | PREMIUM        | 16000 |      0 | 16000 | 2022-12-26 | 
 4023837795 | BB-01 | PREMIUM        | 16000 |      0 | 16000 | 2023-02-27 | 
 4018875185 | BB-01 | PREMIUM        |  8000 |      0 |  8000 | 2021-11-23 | 
 4019014401 | BB-01 | PREMIUM        |  8000 |      0 |  8000 | 2021-12-06 | 
 4062323167 | BB-03 | SOLAR          | 48000 |   8000 | 40000 | 2026-07-10 | 2026-07-11
 406353785  | BB-03 | SOLAR          | 32000 |   8000 | 24000 | 2026-05-08 | 2026-05-08
 4023445216 | BB-03 | SOLAR          | 32000 |  16000 | 16000 | 2023-01-23 | 2023-02-06
 4032788844 | BB-03 | SOLAR          | 48000 |  32000 | 16000 | 2025-02-03 | 2025-02-05
 4062051479 | BB-03 | SOLAR          | 16000 |      0 | 16000 | 2026-06-22 | 
 4027089474 | BB-03 | SOLAR          | 40000 |  32000 |  8000 | 2023-11-24 | 2023-11-28
 4061353785 | BB-03 | SOLAR          | 32000 |  24000 |  8000 | 2026-05-06 | 2026-05-08
(67 rows)

